"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Nova Scotia","2016A000212","Both sexes","60 to 64 years","Persons","249","units","0","v467859","4.1.79","75941","","","","0"
"2020","Nova Scotia","2016A000212","Both sexes","65 to 69 years","Persons","249","units","0","v467880","4.1.85","66676","","","","0"
"2020","Nova Scotia","2016A000212","Both sexes","70 to 74 years","Persons","249","units","0","v467883","4.1.86","57399","","","","0"
"2020","Nova Scotia","2016A000212","Both sexes","75 to 79 years","Persons","249","units","0","v467886","4.1.87","37734","","","","0"
"2020","Nova Scotia","2016A000212","Both sexes","80 to 84 years","Persons","249","units","0","v467889","4.1.88","24225","","","","0"
"2020","Nova Scotia","2016A000212","Both sexes","85 to 89 years","Persons","249","units","0","v467892","4.1.89","14184","","","","0"
"2020","Nova Scotia","2016A000212","Both sexes","90 to 94 years","Persons","249","units","0","v31226641","4.1.126","6318","","","","0"
"2020","Nova Scotia","2016A000212","Both sexes","95 to 99 years","Persons","249","units","0","v31226647","4.1.132","1930","","","","0"
"2020","Nova Scotia","2016A000212","Both sexes","100 years and over","Persons","249","units","0","v31226653","4.1.138","359","","","","0"
"2020","Nova Scotia","2016A000212","Both sexes","Median age","Years","308","units","0","v467634","4.1.105","45.0","","","","1"
"2020","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","781476","","","","0"
"2020","New Brunswick","2016A000213","Both sexes","0 to 4 years","Persons","249","units","0","v468144","5.1.7","33582","","","","0"
"2020","New Brunswick","2016A000213","Both sexes","5 to 9 years","Persons","249","units","0","v467958","5.1.13","38199","","","","0"
"2020","New Brunswick","2016A000213","Both sexes","10 to 14 years","Persons","249","units","0","v467976","5.1.19","40354","","","","0"
"2020","New Brunswick","2016A000213","Both sexes","15 to 19 years","Persons","249","units","0","v467997","5.1.25","40662","","","","0"
"2020","New Brunswick","2016A000213","Both sexes","20 to 24 years","Persons","249","units","0","v468018","5.1.31","43490","","","","0"
"2020","New Brunswick","2016A000213","Both sexes","25 to 29 years","Persons","249","units","0","v468036","5.1.37","43981","","","","0"
"2020","New Brunswick","2016A000213","Both sexes","30 to 34 years","Persons","249","units","0","v468057","5.1.43","44703","","","","0"
"2020","New Brunswick","2016A000213","Both sexes","35 to 39 years","Persons","249","units","0","v468075","5.1.49","46655","","","","0"
"2020","New Brunswick","2016A000213","Both sexes","40 to 44 years","Persons","249","units","0","v468096","5.1.55","48179","","","","0"
"2020","New Brunswick","2016A000213","Both sexes","45 to 49 years","Persons","249","units","0","v468117","5.1.61","51551","","","","0"
"2020","New Brunswick","2016A000213","Both sexes","50 to 54 years","Persons","249","units","0","v468135","5.1.67","54044","","","","0"
"2020","New Brunswick","2016A000213","Both sexes","55 to 59 years","Persons","249","units","0","v468156","5.1.73","63300","","","","0"
"2020","New Brunswick","2016A000213","Both sexes","60 to 64 years","Persons","249","units","0","v468174","5.1.79","61514","","","","0"
"2020","New Brunswick","2016A000213","Both sexes","65 to 69 years","Persons","249","units","0","v468195","5.1.85","55477","","","","0"
"2020","New Brunswick","2016A000213","Both sexes","70 to 74 years","Persons","249","units","0","v468198","5.1.86","46962","","","","0"
"2020","New Brunswick","2016A000213","Both sexes","75 to 79 years","Persons","249","units","0","v468201","5.1.87","30462","","","","0"
